country,confirmed,death,recovered,active,population
Afghanistan,41425,1536,34321,5568,38041754
Albania,20875,509,11189,9177,2854191
Algeria,57942,1964,40201,15777,43053054
Andorra,4756,75,3475,1206,77142
Angola,10805,284,4523,5998,31825295
Antigua and Barbuda,128,3,117,8,97118
Argentina,1166924,31002,973939,161983,44938712
Armenia,89813,1341,55317,33155,2957731
Australia,27595,907,25336,1352,25364307
Austria,104925,1109,67226,36590,8877067
Azerbaijan,55269,730,43543,10996,10023318
Bahrain,81645,321,78719,2605,1641172
Bangladesh,407684,5923,324145,77616,163046161
Barbados,237,7,221,9,287025
Belarus,98482,980,86663,10839,9466856
Belgium,429229,11625,25569,392035,11484055
Belize,3487,59,2160,1268,390353
Benin,2643,41,2418,184,11801151
Bhutan,349,0,324,25,763092
Bolivia,141757,8725,111503,21529,11513100
Bosnia and Herzegovina,50090,1234,28083,20773,3301000
Botswana,6642,24,4676,1942,2303697
Brazil,5535605,159884,5005161,370560,211049527
Bulgaria,52844,1279,20045,31520,6975761
Burkina Faso,2500,67,2250,183,20321378
Burundi,585,1,511,73,11530580
Cabo Verde,8793,95,7981,717,549935
Cambodia,291,0,283,8,16486542
Cameroon,21793,426,20117,1250,25876380
Canada,237313,10187,198952,NA,37589262
Central African Republic,4866,62,1924,2880,4745185
Chad,1483,98,1314,71,15946876
Chile,510256,14207,486642,NA,18952038
China,91366,4739,86135,492,1397715000
Colombia,1073809,31598,968927,73284,50339443
Comoros,545,7,498,40,850886
Costa Rica,109971,1385,66719,41867,5047561
Cote d'Ivoire,20716,126,20365,225,25716544
Croatia,49316,546,32818,15952,4067500
Cuba,6887,128,6245,514,11333483
Cyprus,4366,26,1882,2458,1198575
Denmark,46863,721,35020,11122,5818553
Djibouti,5561,61,5441,59,973560
Dominica,50,0,33,17,71808
Dominican Republic,127018,2245,104862,19911,10738958
Ecuador,168192,12670,141759,13763,17373662
El Salvador,33445,975,29186,3284,6453553
Equatorial Guinea,5088,83,4965,40,1355986
Estonia,4905,73,3811,1021,1326590
Eswatini,5917,117,5646,154,1148130
Ethiopia,96169,1469,52517,42183,112078730
Fiji,34,2,31,1,889953
Finland,16113,358,11300,4455,5520314
France,1412709,36826,123095,1252788,67059887
Gabon,8968,55,8698,215,2172579
Georgia,38936,307,22691,15938,3720382
Germany,531790,10483,356410,164897,83132799
Ghana,48055,320,47169,566,30417856
Greece,39251,626,23074,15551,10716322
Grenada,28,0,24,4,112003
Guatemala,107939,3729,97289,6921,16604026
Guinea,12072,72,10550,1450,12771246
Guinea-Bissau,2413,41,1818,554,1920922
